evaluation,hypervolume
0,0.0
1,2.8940700892916063
2,4.486716744744069
3,4.486716744744069
4,12.122290284054436
5,12.566839765646467
6,15.788451978856855
7,16.438997773519386
8,16.64567631504831
9,17.22658140696751
10,17.22658140696751
11,17.22658140696751
12,17.22658140696751
13,17.274156336813448
14,18.564583099438995
15,18.564583099438995
16,18.564583099438995
17,18.564583099438995
18,18.564583099438995
19,18.564583099438995
20,18.564583099438995
21,18.564583099438995
22,18.567646276846002
23,18.567646276846002
24,18.715996374108368
