Compound,Neutral_formula,SMILES,BindingDB_ID,Source_URL,Activity_Assay,Activity_Target,Activity_Endpoint,Activity_Value,Activity_nM,Selectivity_fold,Activity_Evidence,Note
37,C44H50ClF4N9O2,C[C@H]1CN(CCN1c1nc(OC[C@@]23CCCN2CC(=C)C3)nc2c(F)c(c(Cl)cc12)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)\C=C\c1cc(C2CCN(C)CC2)c(C)cn1,BDBM50619561,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619561&monomerid=50619561,KRAS G13D GDP HTRF,KRAS G13D,IC50,0.34 nM (15x),0.34,15,"Table 3, row 37. Text: Selectivity given as 15x over WT.",Demo row copied from the PDF extraction output so ReaSyn can be tested without repeating extraction.
38,C41H43ClF4N8O2,C[C@H]1CN(CCN1c1nc(OC[C@@]23CCCN2CC(=C)C3)nc2c(F)c(c(Cl)cc12)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)\C=C\c1cccc2CCNCc12,BDBM50619562,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619562&monomerid=50619562,KRAS G13D GDP HTRF,KRAS G13D,IC50,0.69 nM,0.69,11,"Table 4, row 38.",Demo row copied from the PDF extraction output so ReaSyn can be tested without repeating extraction.
39,C43H47ClF4N8O2,C[C@H]1CN(CCN1c1nc(OC[C@@]23CCCN2CC(=C)C3)nc2c(F)c(c(Cl)cc12)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)\C=C\c1cccc2CC(C)(C)NCc12,BDBM50619563,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619563&monomerid=50619563,KRAS G13D GDP HTRF,KRAS G13D,IC50,0.85 nM,0.85,16,"Table 3, row 39.",Demo row copied from the PDF extraction output so ReaSyn can be tested without repeating extraction.
