Compound,Neutral_formula,SMILES,BindingDB_ID,Source_URL,Activity_Assay,Activity_Target,Activity_Endpoint,Activity_Value,Activity_nM,Selectivity_fold,Activity_Evidence,Note
22,C34H40ClF3N8O3,[H][C@@]12CN(CCN1c1nc(OC[C@@H]3CCCN3C)nc3cc(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)C1CC11CCNCC1,BDBM50619546,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619546&monomerid=50619546,,,,,,,,"Formula/SMILES corrected using inferred BindingDB ID sequence; Corrected formula/SMILES using inferred BindingDB ID sequence (expected=BDBM50619546, support=14)"
23,C33H40ClF3N8O3,[H][C@@]12CN(CCN1c1nc(OC[C@@H]3CCCN3C)nc3cc(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)CCC1CCNC1,BDBM50619547,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619547&monomerid=50619547,,,,,,,,"Formula/SMILES corrected using inferred BindingDB ID sequence; Corrected formula/SMILES using inferred BindingDB ID sequence (expected=BDBM50619547, support=14)"
24,C34H40ClF3N8O3,[H][C@@]12CN(CCN1c1nc(OC[C@@H]3CCCN3C)nc3cc(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)C[C@H]1CCC11CNC1,BDBM50619548,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619548&monomerid=50619548,,,,,,,,"Formula/SMILES corrected using inferred BindingDB ID sequence; Corrected formula/SMILES using inferred BindingDB ID sequence (expected=BDBM50619548, support=14)"
25,C33H38ClF3N8O4,[H][C@@]12CN(CCN1c1nc(OC[C@@H]3CCCN3C)nc3cc(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)C1CCC2(CNC2)O1,BDBM50619549,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619549&monomerid=50619549,,,,,,,,"Formula/SMILES corrected using inferred BindingDB ID sequence; Corrected formula/SMILES using inferred BindingDB ID sequence (expected=BDBM50619549, support=14)"
26,C33H36ClF3N8O3,[H][C@@]12CN(CCN1c1nc(OC[C@@H]3CCCN3C)nc3cc(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)C#CC1CCNC1,BDBM50619550,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619550&monomerid=50619550,,,,,,,,"Formula/SMILES corrected using inferred BindingDB ID sequence; Corrected formula/SMILES using inferred BindingDB ID sequence (expected=BDBM50619550, support=14)"
27,C37H39ClF3N9O3,[H][C@@]12CN(CCN1c1nc(OC[C@@H]3CCCN3C)nc3cc(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)\C=C\c1nccc2CCNCc12,BDBM50619551,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619551&monomerid=50619551,KRAS G13D GDP HTRF,KRAS G13D,IC50,0.18 μM,180,0.18,"Table 2, row 27.",Conflicting neutral formula: C39H33Cl2FN6O vs C37H39ClF3N9O3
28,C40H41ClF3N9O3,[H][C@@]12CN(CCN1c1nc(OC[C@@]34CCCN3CC(=C)C4)nc3cc(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)\C=C\c1nccc2CCNCc12,BDBM50619552,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619552&monomerid=50619552,KRAS G13D GDP HTRF,KRAS G13D,IC50,~0.013 μM,13,0.013,"Table 2, row 28. Approximate value from text; table likely gives value around 13 nM.",
29,C40H40ClF4N9O3,[H][C@@]12CN(CCN1c1nc(OC[C@@]34CCCN3CC(=C)C4)nc3c(F)c(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)\C=C\c1nccc2CCNCc12,BDBM50619553,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619553&monomerid=50619553,KRAS G13D GDP HTRF,KRAS G13D,IC50,1.5 nM,1.5,6.7,"Table 2, row 29; also Table 4 row 29.",
30,C31H27ClF4N8O2,[H][C@@]12CN(CCN1c1ncnc3c(F)c(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)\C=C\c1nccc2CCNCc12,BDBM50619554,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619554&monomerid=50619554,KRAS G13D GDP HTRF,KRAS G13D,IC50,2.7 μM,2700,2.7,"Table 2, row 30.",
31,C41H43ClF3N9O3,[H][C@@]12CN(CCN1c1nc(OC[C@@]34CCCN3CC(=C)C4)nc3cc(c(Cl)c(OC2)c13)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)\C=C\c1nccc2CCN(C)Cc12,BDBM50619555,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619555&monomerid=50619555,KRAS G13D GDP HTRF,KRAS G13D,IC50,0.024 μM,24,0.024,"Table 2, row 31.",
32,C40H42ClF4N9O2,C[C@H]1CN(CCN1c1nc(OC[C@@]23CCCN2CC(=C)C3)nc2c(F)c(c(Cl)cc12)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)\C=C\c1nccc2CCNCc12,BDBM50619556,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619556&monomerid=50619556,KRAS G13D GDP HTRF,KRAS G13D,IC50,1.9 nM,1.9,7.2,"Table 3, row 32.",
33,C39H42ClF4N9O2,CNCc1ccnc(\C=C\C(=O)N2CCN([C@@H](C)C2)c2nc(OC[C@@]34CCCN3CC(=C)C4)nc3c(F)c(c(Cl)cc23)-c2nc(N)cc(C)c2C(F)(F)F)c1,BDBM50619557,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619557&monomerid=50619557,KRAS G13D GDP HTRF,KRAS G13D,IC50,0.53 nM,0.53,5.7,"Table 3, row 33.",
34,C42H46ClF4N9O3,C[C@H]1CN(CCN1c1nc(OC[C@@]23CCCN2CC(=C)C3)nc2c(F)c(c(Cl)cc12)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)\C=C\c1cc(CN2CCOCC2)ccn1,BDBM50619558,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619558&monomerid=50619558,KRAS G13D GDP HTRF,KRAS G13D,IC50,22 nM,22,1.5,"Table 3, row 34.",
35,C40H44ClF4N9O2,CNCc1cc(\C=C\C(=O)N2CCN([C@@H](C)C2)c2nc(OC[C@@]34CCCN3CC(=C)C4)nc3c(F)c(c(Cl)cc23)-c2nc(N)cc(C)c2C(F)(F)F)ncc1C,BDBM50619559,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619559&monomerid=50619559,KRAS G13D GDP HTRF,KRAS G13D,IC50,0.64 nM,0.64,9.6,"Table 3, row 35.",
36,C41H46ClF4N9O2,C[C@H]1CN(CCN1c1nc(OC[C@@]23CCCN2CC(=C)C3)nc2c(F)c(c(Cl)cc12)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)\C=C\c1cc(CN(C)C)c(C)cn1,BDBM50619560,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619560&monomerid=50619560,KRAS G13D GDP HTRF,KRAS G13D,IC50,0.67 nM,0.67,10.4,"Table 3, row 36.",
37,C44H50ClF4N9O2,C[C@H]1CN(CCN1c1nc(OC[C@@]23CCCN2CC(=C)C3)nc2c(F)c(c(Cl)cc12)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)\C=C\c1cc(C2CCN(C)CC2)c(C)cn1,BDBM50619561,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619561&monomerid=50619561,KRAS G13D GDP HTRF,KRAS G13D,IC50,0.34 nM (15x),0.34,15,"Table 3, row 37. Text: Selectivity given as 15× over WT.",Conflicting neutral formula: C44H50ClF4N9O2 vs C35H43ClF4N7O5P
38,C41H43ClF4N8O2,C[C@H]1CN(CCN1c1nc(OC[C@@]23CCCN2CC(=C)C3)nc2c(F)c(c(Cl)cc12)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)\C=C\c1cccc2CCNCc12,BDBM50619562,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619562&monomerid=50619562,KRAS G13D GDP HTRF,KRAS G13D,IC50,0.69 nM,0.69,11,"Table 4, row 38.",
39,C43H47ClF4N8O2,C[C@H]1CN(CCN1c1nc(OC[C@@]23CCCN2CC(=C)C3)nc2c(F)c(c(Cl)cc12)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)\C=C\c1cccc2CC(C)(C)NCc12,BDBM50619563,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619563&monomerid=50619563,KRAS G13D GDP HTRF,KRAS G13D,IC50,0.85 nM,0.85,16,"Table 3, row 39.",
40,C43H45ClF4N8O2,C[C@H]1CN(CCN1c1nc(OC[C@@]23CCCN2CC(=C)C3)nc2c(F)c(c(Cl)cc12)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)\C=C\c1cccc2C3CCN(C3)Cc12,BDBM50619564,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619564&monomerid=50619564,KRAS G13D GDP HTRF,KRAS G13D,IC50,0.33 nM,0.33,27,"Table 3, row 40.",
41,C43H45ClF4N8O2,C[C@H]1CN(CCN1c1nc(OC[C@@]23CCCN2CC(=C)C3)nc2c(F)c(c(Cl)cc12)-c1nc(N)cc(C)c1C(F)(F)F)C(=O)\C=C\c1cccc2C3CCN(C3)Cc12,BDBM50619564,https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?google=BDBM50619564&monomerid=50619564,KRAS G13D GDP HTRF,KRAS G13D,IC50,0.04 nM,0.04,29,"Table 3, row 41.",
